Deve_stage,Zscore,LiDAR,Biomass,NDVI
Z51,41,1.153,4.719,0.7569
Z51,53,1.4789,5.9989,0.787
Z51,55,1.5485,5.8058,0.7867
Z51,43,1.1049,5.1158,0.6771
Z51,41,1.6242,6.0169,0.7688
Z51,57,2.2624,7.5286,0.8122
Z51,53,1.7061,6.4592,0.7962
Z51,65,1.8556,6.9777,0.8038
Z51,59,1.9372,6.4231,0.7659
Z51,55,1.7779,6.1069,0.74
Z51,55,2.2066,7.2816,0.7892
Z51,57,1.1211,5.1103,0.7477
Z51,43,1.6988,6.1265,0.7631
Z51,43,1.7015,5.5717,0.7588
Z51,41,1.323,4.5688,0.7031
Z51,53,1.7564,6.8972,0.7667
Z51,53,2.3135,7.6148,0.8308
Z51,53,1.774,6.6973,0.8024
Z51,55,1.4421,6.0204,0.7394
Z51,43,1.8362,6.2158,0.8051
Z51,55,1.9188,6.702,0.8092
Z51,43,1.4312,4.4703,0.7013
Z51,53,1.724,5.9998,0.7712
Z51,53,1.4032,6.2357,0.7636
Z51,51,1.4917,5.6669,0.6309
Z51,53,1.8748,7.0694,0.6909
Z51,51,1.1629,5.1788,0.7604
Z51,53,1.1021,4.6502,0.6944
Z51,55,0.88,4.4673,0.7064
Z51,43,1.2736,4.5734,0.6435
Z51,55,2.1631,6.84,0.8039
Z51,53,2.0113,6.7918,0.7902
Z51,53,1.0999,5.2092,0.6179
Z51,41,0.8725,4.4012,0.5803
Z51,53,2.3621,7.6279,0.7309
Z51,55,1.4028,5.4051,0.7561
Z51,43,0.887,4.9841,0.6696
Z51,53,1.1615,6.1194,0.7324
Z51,55,1.4776,6.2415,0.7574
Z51,55,1.7374,7.0933,0.7679
Z51,55,1.9528,6.3109,0.6419
Z51,53,1.634,6.3532,0.7442
Z51,53,1.6245,6.5196,0.6784
Z51,53,1.4443,5.5677,0.6873
Z51,57,2.4504,8.4275,0.8112
Z51,55,1.1437,5.5501,0.6146
Z51,55,1.9294,7.364,0.7152
Z60,59,2.1743,8.8984,0.7156
Z60,55,2.6445,9.125,0.8438
Z60,65,1.0685,5.9705,0.6034
Z60,65,2.2315,8.505,0.7958
Z60,65,2.4394,8.4699,0.8226
Z60,59,2.3161,7.5475,0.795
Z60,65,2.2717,8.1384,0.7646
Z60,51,1.6291,6.745,0.6944
Z60,49,2.5994,8.4926,0.799
Z60,47,1.3879,5.3793,0.6081
Z60,59,1.86,7.7958,0.7814
Z60,49,2.2131,8.1069,0.7489
Z60,61,2.1626,8.327,0.7871
Z60,51,1.3688,6.2446,0.7087
Z60,65,1.8936,8.1953,0.7836
Z60,65,1.6878,7.8353,0.729
Z60,55,2.0076,8.1956,0.7703
Z60,55,1.9066,7.8516,0.7586
Z60,65,2.1991,8.4834,0.7963
Z60,65,2.1634,9.4365,0.8062
Z60,65,2.0194,8.8357,0.7199
Z60,65,2.3448,8.946,0.803
Z60,65,2.2221,8.2784,0.789
Z60,65,2.2113,7.921,0.8133
Z60,65,1.4175,7.3207,0.731
Z60,53,1.7383,8.1806,0.7559
Z60,47,2.0307,7.9863,0.7709
Z60,47,1.4649,6.3011,0.7241
Z60,60,1.5185,7.1424,0.7446
Z60,59,2.2505,8.6435,0.7951
Z60,61,1.8127,8.0643,0.6683
Z60,65,1.6992,7.84,0.6616
Z60,53,1.8512,7.2538,0.7595
Z60,65,1.8445,8.8656,0.8107
Z60,47,1.6476,6.2811,0.682
Z60,57,1.5984,7.1421,0.7357
Z60,65,1.4793,7.7693,0.6909
Z60,59,1.743,7.6992,0.7236
Z60,67,1.7908,7.457,0.7205
Z60,57,1.7519,7.5402,0.7828
Z60,65,1.3017,6.5127,0.6751
Z60,65,1.2325,6.317,0.6641
Z60,45,1.2659,5.7545,0.638
Z60,65,2.1621,8.1249,0.788
Z60,59,1.4403,6.4485,0.7546
Z60,61,1.0961,6.5079,0.5995
Z60,49,1.0723,5.8868,0.6075
Z60,65,2.2866,8.377,0.7812
Z60,61,1.5093,7.1193,0.7519
Z60,51,1.3773,7.4466,0.7148
Z60,65,1.5805,7.7748,0.7445
Z60,65,1.5471,7.4387,0.7035
Z60,65,1.5259,7.4367,0.7399
Z60,65,1.9905,8.1511,0.7633
Z60,65,1.7684,7.9408,0.7134
Z60,59,2.0953,8.1772,0.6863
Z60,57,1.5899,7.2135,0.6507
Z60,65,2.0434,8.3782,0.8122
Z60,65,1.1532,6.6951,0.6285
Z60,65,1.9604,8.179,0.796
